epoch,accuracy,loss
0,0.4769442677497864,4.327250003814697
1,0.6717137098312378,0.7850629687309265
2,0.7536132335662842,0.6244171857833862
3,0.7350309491157532,0.6583701968193054
4,0.8062629103660583,0.48952239751815796
5,0.8661389946937561,0.3450573682785034
6,0.8716448545455933,0.32583266496658325
7,0.9026152491569519,0.24498571455478668
8,0.9184445738792419,0.2358185201883316
9,0.9091534614562988,0.22523123025894165
10,0.942188560962677,0.1512898951768875
11,0.9335857033729553,0.17778244614601135
12,0.9194769263267517,0.2127900868654251
13,0.9573296904563904,0.11762579530477524
14,0.9057123064994812,0.26569125056266785
15,0.9359945058822632,0.1771758794784546
16,0.9642120003700256,0.1011638417840004
17,0.9728148579597473,0.0787956565618515
18,0.9793530702590942,0.06371066719293594
19,0.9886441826820374,0.03589463233947754
20,0.9535443782806396,0.12667225301265717
21,0.956641435623169,0.12093198299407959
22,0.9786648154258728,0.0628853589296341
23,0.9852030277252197,0.04478544741868973
24,0.9889882802963257,0.02842138707637787
25,0.9944941401481628,0.01814429834485054
26,0.9989676475524902,0.006211893167346716
27,0.9996559023857117,0.003185576992109418
28,0.9996559023857117,0.0018587717786431313
29,1.0,0.0011539995903149247
30,1.0,0.0008663611952215433
31,1.0,0.0007084535900503397
32,1.0,0.0006082429899834096
33,1.0,0.000520023750141263
34,1.0,0.00045243100612424314
35,1.0,0.0003909229126293212
36,1.0,0.00034545347443781793
37,1.0,0.0003109747776761651
38,1.0,0.0002722312929108739
39,1.0,0.0002452410408295691
40,1.0,0.00021428010950330645
41,1.0,0.000188024016097188
42,1.0,0.00017643070896156132
43,1.0,0.0001545481354696676
44,1.0,0.0001462979707866907
45,1.0,0.00013369417865760624
46,1.0,0.0001221827551489696
47,1.0,0.00011043510312447324
48,1.0,9.722729737404734e-05
49,1.0,9.088618389796466e-05
