epoch,accuracy,loss
0,0.49793529510498047,2.6235063076019287
1,0.6190640330314636,0.8399656414985657
2,0.6775636672973633,0.7486823201179504
3,0.712663471698761,0.6869179010391235
4,0.7969717979431152,0.49924910068511963
5,0.8238127827644348,0.4537001848220825
6,0.8709566593170166,0.3439576327800751
7,0.8730213642120361,0.32981234788894653
8,0.9005506038665771,0.2553229033946991
9,0.9215416312217712,0.2078600376844406
10,0.906744658946991,0.24634680151939392
11,0.9181004762649536,0.21800148487091064
12,0.9232622385025024,0.21274110674858093
13,0.9349621534347534,0.18009954690933228
14,0.9394356608390808,0.1695375144481659
15,0.942188560962677,0.16451150178909302
16,0.9573296904563904,0.11645516008138657
17,0.9494150280952454,0.14712752401828766
18,0.9556090831756592,0.12525725364685059
19,0.9642120003700256,0.09461081773042679
20,0.9796971678733826,0.05649711191654205
21,0.968685507774353,0.09212564677000046
22,0.8657948970794678,0.4080464541912079
23,0.9363386034965515,0.20100000500679016
24,0.9800412654876709,0.06408146768808365
25,0.9810736179351807,0.04971299320459366
26,0.9879559278488159,0.03165937215089798
27,0.9738472104072571,0.08921760320663452
28,0.9600825905799866,0.12163970619440079
29,0.9717825055122375,0.08037448674440384
30,0.9903647899627686,0.031149061396718025
31,0.968685507774353,0.10439706593751907
32,0.9390915632247925,0.19889502227306366
33,0.9838265776634216,0.044366467744112015
34,0.9951823949813843,0.01657584309577942
35,0.9924294352531433,0.023388449102640152
36,0.9796971678733826,0.061930447816848755
37,0.9676531553268433,0.10906754434108734
38,0.9786648154258728,0.05622903257608414
39,0.9796971678733826,0.05523288995027542
40,0.9573296904563904,0.15561771392822266
41,0.9683413505554199,0.09990423917770386
42,0.9738472104072571,0.08942738175392151
43,0.9676531553268433,0.09092062711715698
44,0.9714384078979492,0.0976228415966034
45,0.9741913080215454,0.08416055887937546
46,0.9779766201972961,0.05899346247315407
47,0.980385422706604,0.0748826414346695
48,0.9786648154258728,0.06874509155750275
49,0.9917412400245667,0.02608463540673256
