epoch,accuracy,loss
0,0.4497591257095337,1.9865376949310303
1,0.6035788059234619,0.8711984157562256
2,0.6796283721923828,0.7569011449813843
3,0.724363386631012,0.6694719195365906
4,0.7622160911560059,0.5712143182754517
5,0.8066070079803467,0.48217400908470154
6,0.8403303623199463,0.4271906912326813
7,0.8688919544219971,0.35753360390663147
8,0.887130081653595,0.2988162040710449
9,0.9050241112709045,0.24858075380325317
10,0.9194769263267517,0.2228689342737198
11,0.9194769263267517,0.22562341392040253
12,0.9418444633483887,0.1584153175354004
13,0.938403308391571,0.18049941956996918
14,0.9404680132865906,0.18761621415615082
15,0.9507914781570435,0.15221761167049408
16,0.9511355757713318,0.137482687830925
17,0.956641435623169,0.12601348757743835
18,0.9549208283424377,0.12815850973129272
19,0.9704060554504395,0.0870799720287323
20,0.9810736179351807,0.05788717791438103
21,0.9848589301109314,0.0412660613656044
22,0.9549208283424377,0.13443073630332947
23,0.9280798435211182,0.218427374958992
24,0.9346180558204651,0.1805422008037567
25,0.9779766201972961,0.06233915686607361
26,0.9834824204444885,0.04411672428250313
27,0.9790089726448059,0.06063593178987503
28,0.944941520690918,0.15527234971523285
29,0.9676531553268433,0.0907280445098877
30,0.9728148579597473,0.0776977613568306
31,0.9838265776634216,0.04401136189699173
32,0.9889882802963257,0.03515828773379326
33,0.9769442677497864,0.05972648039460182
34,0.9693737030029297,0.09367850422859192
35,0.9456297159194946,0.23423337936401367
36,0.9635237455368042,0.11854013800621033
37,0.9769442677497864,0.09165536612272263
38,0.9790089726448059,0.06328947842121124
39,0.9710943102836609,0.08627032488584518
40,0.9893324375152588,0.03341414034366608
41,0.9762560129165649,0.07383602857589722
42,0.9814177751541138,0.0464557446539402
43,0.98417067527771,0.04615595564246178
44,0.9848589301109314,0.040812090039253235
45,0.9889882802963257,0.035296257585287094
46,0.9903647899627686,0.02952994965016842
47,0.9769442677497864,0.08603450655937195
48,0.9704060554504395,0.09981311857700348
49,0.9872677326202393,0.040802229195833206
